Gene	Length	Isolate
86-124-asm_04578	574	86-124
86-124-asm_04617	209	86-124
86-124-asm_04694	96	86-124
86-124-asm_04699	606	86-124
86-124-asm_04702	197	86-124
86-124-asm_04787	62	86-124
86-124-asm_04802	185	86-124
86-124-asm_04825	187	86-124
86-124-asm_04856	355	86-124
86-124-asm_04864	152	86-124
86-124-asm_04922	308	86-124
86-124-asm_04958	255	86-124
86-124-asm_04990	449	86-124
86-124-asm_04991	382	86-124
86-124-asm_05031	249	86-124
86-124-asm_05038	182	86-124
86-124-asm_05058	70	86-124
86-124-asm_05059	82	86-124
86-124-asm_05078	448	86-124
86-124-asm_05083	344	86-124
86-124-asm_05108	231	86-124
86-124-asm_05145	179	86-124
86-124-asm_05174	433	86-124
86-124-asm_05256	206	86-124
86-124-asm_05333	135	86-124
86-124-asm_05408	105	86-124
86-124-asm_05422	137	86-124
86-124-asm_05515	121	86-124
86-124-asm_05558	112	86-124
86-124-asm_05561	43	86-124
86-124-asm_05581	85	86-124
86-124-asm_05641	147	86-124
86-124-asm_05740	244	86-124
86-124-asm_05753	90	86-124
86-124-asm_05846	326	86-124
86-124-asm_05862	104	86-124
86-124-asm_05864	92	86-124
86-124-asm_05881	372	86-124
86-124-asm_05893	86	86-124
86-124-asm_05913	288	86-124
86-124-asm_05925	264	86-124
86-124-asm_05928	167	86-124
86-124-asm_05935	251	86-124
86-124-asm_05955	123	86-124
86-124-asm_05986	384	86-124
86-124-asm_06013	55	86-124
86-124-asm_06015	402	86-124
86-124-asm_06022	390	86-124
86-124-asm_06068	162	86-124
86-124-asm_06160	134	86-124
86-124-asm_06188	336	86-124
86-124-asm_06319	196	86-124
86-124-asm_06352	132	86-124
86-124-asm_06407	178	86-124
86-124-asm_06408	248	86-124
86-124-asm_06416	147	86-124
86-124-asm_06458	408	86-124
86-124-asm_06494	81	86-124
86-124-asm_06503	69	86-124
86-124-asm_06559	215	86-124
86-124-asm_06573	297	86-124
86-124-asm_06609	66	86-124
86-124-asm_06659	218	86-124
86-124-asm_06701	175	86-124
86-124-asm_06786	248	86-124
86-124-asm_06787	196	86-124
86-124-asm_06807	136	86-124
86-124-asm_06843	131	86-124
86-124-asm_06872	258	86-124
86-124-asm_06912	176	86-124
86-124-asm_06938	305	86-124
86-124-asm_06939	249	86-124
86-124-asm_06968	277	86-124
86-124-asm_07044	203	86-124
86-124-asm_07103	104	86-124
86-124-asm_07119	161	86-124
86-124-asm_07162	278	86-124
86-124-asm_07192	174	86-124
86-124-asm_07200	145	86-124
86-124-asm_07250	173	86-124
86-124-asm_07318	106	86-124
86-124-asm_07323	208	86-124
86-124-asm_07362	129	86-124
86-124-asm_07378	130	86-124
86-124-asm_07391	250	86-124
86-124-asm_07394	53	86-124
86-124-asm_07419	203	86-124
86-124-asm_07485	392	86-124
86-124-asm_07489	106	86-124
86-124-asm_07495	89	86-124
86-124-asm_07571	174	86-124
86-124-asm_07655	58	86-124
86-124-asm_07817	231	86-124
86-124-asm_07912	207	86-124
86-124-asm_07913	81	86-124
86-124-asm_07985	203	86-124
86-124-asm_07993	227	86-124
86-124-asm_08000	287	86-124
86-124-asm_08006	117	86-124
86-124-asm_08020	417	86-124
86-124-asm_08088	404	86-124
86-124-asm_08105	263	86-124
86-124-asm_08154	193	86-124
86-124-asm_08166	458	86-124
86-124-asm_08206	189	86-124
86-124-asm_08241	68	86-124
86-124-asm_08267	135	86-124
86-124-asm_08272	99	86-124
86-124-asm_08275	218	86-124
86-124-asm_08283	242	86-124
86-124-asm_08290	210	86-124
86-124-asm_08307	310	86-124
86-124-asm_08308	130	86-124
86-124-asm_08350	358	86-124
86-124-asm_08351	238	86-124
86-124-asm_08365	199	86-124
86-124-asm_08395	244	86-124
86-124-asm_08515	58	86-124
86-124-asm_08534	518	86-124
86-124-asm_08546	234	86-124
86-124-asm_08566	449	86-124
86-124-asm_08589	302	86-124
86-124-asm_08596	227	86-124
86-124-asm_08645	267	86-124
86-124-asm_08683	127	86-124
86-124-asm_08685	191	86-124
86-124-asm_08701	363	86-124
86-124-asm_08765	319	86-124
86-124-asm_08863	225	86-124
86-124-asm_08888	227	86-124
86-124-asm_08919	211	86-124
86-124-asm_08973	89	86-124
86-124-asm_08982	129	86-124
86-124-asm_09017	124	86-124
86-124-asm_09019	118	86-124
86-124-asm_09096	238	86-124
86-124-asm_09100	157	86-124
86-124-asm_09105	161	86-124
86-124-asm_09149	190	86-124
86-124-asm_09197	136	86-124
86-124-asm_09230	236	86-124
86-124-asm_09233	231	86-124
86-124-asm_09257	95	86-124
86-124-asm_09328	402	86-124
86-124-asm_09359	189	86-124
86-124-asm_09421	150	86-124
86-124-asm_09443	134	86-124
86-124-asm_09468	378	86-124
86-124-asm_09495	135	86-124
86-124-asm_09659	274	86-124
86-124-asm_09664	66	86-124
86-124-asm_09665	227	86-124
86-124-asm_09788	373	86-124
86-124-asm_09792	107	86-124
86-124-asm_09808	238	86-124
86-124-asm_09842	157	86-124
86-124-asm_09861	230	86-124
86-124-asm_09891	60	86-124
86-124-asm_09934	162	86-124
86-124-asm_09936	631	86-124
86-124-asm_09939	253	86-124
86-124-asm_09941	160	86-124
86-124-asm_09955	227	86-124
86-124-asm_10070	454	86-124
86-124-asm_10099	90	86-124
86-124-asm_10106	273	86-124
86-124-asm_10125	126	86-124
86-124-asm_10126	156	86-124
86-124-asm_10147	199	86-124
86-124-asm_10238	115	86-124
86-124-asm_10268	98	86-124
86-124-asm_10335	170	86-124
86-124-asm_10373	169	86-124
86-124-asm_10398	93	86-124
86-124-asm_10421	295	86-124
86-124-asm_10472	253	86-124
86-124-asm_10474	118	86-124
86-124-asm_10494	98	86-124
86-124-asm_10547	316	86-124
86-124-asm_10548	192	86-124
86-124-asm_10574	131	86-124
86-124-asm_10579	252	86-124
86-124-asm_10629	99	86-124
86-124-asm_10639	398	86-124
86-124-asm_10663	88	86-124
86-124-asm_10693	222	86-124
86-124-asm_10695	393	86-124
86-124-asm_10707	129	86-124
86-124-asm_10716	208	86-124
86-124-asm_10723	84	86-124
86-124-asm_10731	89	86-124
86-124-asm_10772	177	86-124
86-124-asm_10781	72	86-124
86-124-asm_10810	278	86-124
86-124-asm_10863	135	86-124
86-124-asm_10916	92	86-124
86-124-asm_10917	104	86-124
86-124-asm_10922	104	86-124
86-124-asm_10923	92	86-124
86-124-asm_10924	92	86-124
86-124-asm_10945	377	86-124
86-124-asm_10946	288	86-124
86-124-asm_10953	144	86-124
86-124-asm_11000	241	86-124
86-124-asm_11016	211	86-124
86-124-asm_11019	270	86-124
86-124-asm_11053	228	86-124
86-124-asm_11153	344	86-124
86-124-asm_11192	76	86-124
86-124-asm_11257	187	86-124
86-124-asm_11413	108	86-124
86-124-asm_11537	448	86-124
86-124-asm_11577	210	86-124
86-124-asm_11598	187	86-124
86-124-asm_11600	245	86-124
86-124-asm_11636	221	86-124
86-124-asm_11647	251	86-124
86-124-asm_11703	226	86-124
86-124-asm_11709	203	86-124
86-124-asm_11775	413	86-124
86-124-asm_11812	146	86-124
86-124-asm_11866	106	86-124
86-124-asm_11881	241	86-124
86-124-asm_11940	191	86-124
86-124-asm_11978	232	86-124
86-124-asm_11985	214	86-124
86-124-asm_12014	138	86-124
86-124-asm_12017	160	86-124
86-124-asm_12026	245	86-124
86-124-asm_12044	501	86-124
86-124-asm_12076	131	86-124
86-124-asm_12089	176	86-124
86-124-asm_12091	43	86-124
86-124-asm_12149	278	86-124
86-124-asm_12312	351	86-124
86-124-asm_12361	340	86-124
86-124-asm_12371	98	86-124
86-124-asm_12379	121	86-124
86-124-asm_12397	303	86-124
86-124-asm_12442	270	86-124
86-124-asm_12492	201	86-124
86-124-asm_12499	234	86-124
86-124-asm_12557	104	86-124
86-124-asm_12558	92	86-124
86-124-asm_12559	92	86-124
86-124-asm_12626	268	86-124
86-124-asm_12665	156	86-124
86-124-asm_12716	248	86-124
86-124-asm_12741	297	86-124
86-124-asm_12756	292	86-124
86-124-asm_12882	559	86-124
86-124-asm_12897	245	86-124
86-124-asm_12910	114	86-124
86-124-asm_13106	234	86-124
86-124-asm_13149	96	86-124
86-124-asm_13245	349	86-124
86-124-asm_13309	438	86-124
86-124-asm_13326	163	86-124
86-124-asm_13364	399	86-124
86-124-asm_13436	130	86-124
86-124-asm_13549	123	86-124
86-124-asm_13559	234	86-124
86-124-asm_13583	129	86-124
86-124-asm_13746	158	86-124
86-124-asm_13804	256	86-124
86-124-asm_13936	104	86-124
Biotrigo9-1_00069	121	Biotrigo9-1
Biotrigo9-1_00094	75	Biotrigo9-1
Biotrigo9-1_00097	167	Biotrigo9-1
Biotrigo9-1_00133	565	Biotrigo9-1
Biotrigo9-1_00135	35	Biotrigo9-1
Biotrigo9-1_00150	234	Biotrigo9-1
Biotrigo9-1_00164	215	Biotrigo9-1
Biotrigo9-1_00166	92	Biotrigo9-1
Biotrigo9-1_00171	399	Biotrigo9-1
Biotrigo9-1_00220	109	Biotrigo9-1
Biotrigo9-1_00240	156	Biotrigo9-1
Biotrigo9-1_00242	199	Biotrigo9-1
Biotrigo9-1_00259	496	Biotrigo9-1
Biotrigo9-1_00265	208	Biotrigo9-1
Biotrigo9-1_00318	158	Biotrigo9-1
Biotrigo9-1_00320	252	Biotrigo9-1
Biotrigo9-1_00394	164	Biotrigo9-1
Biotrigo9-1_00459	154	Biotrigo9-1
Biotrigo9-1_00475	237	Biotrigo9-1
Biotrigo9-1_00477	235	Biotrigo9-1
Biotrigo9-1_00558	317	Biotrigo9-1
Biotrigo9-1_00562	367	Biotrigo9-1
Biotrigo9-1_00598	228	Biotrigo9-1
Biotrigo9-1_00626	172	Biotrigo9-1
Biotrigo9-1_00759	128	Biotrigo9-1
Biotrigo9-1_00802	385	Biotrigo9-1
Biotrigo9-1_00804	99	Biotrigo9-1
Biotrigo9-1_00824	258	Biotrigo9-1
Biotrigo9-1_00961	353	Biotrigo9-1
Biotrigo9-1_00996	330	Biotrigo9-1
Biotrigo9-1_01019	183	Biotrigo9-1
Biotrigo9-1_01085	267	Biotrigo9-1
Biotrigo9-1_01227	146	Biotrigo9-1
Biotrigo9-1_01278	123	Biotrigo9-1
Biotrigo9-1_01338	291	Biotrigo9-1
Biotrigo9-1_01409	130	Biotrigo9-1
Biotrigo9-1_01479	174	Biotrigo9-1
Biotrigo9-1_01487	145	Biotrigo9-1
Biotrigo9-1_01535	173	Biotrigo9-1
Biotrigo9-1_01603	106	Biotrigo9-1
Biotrigo9-1_01607	208	Biotrigo9-1
Biotrigo9-1_01645	129	Biotrigo9-1
Biotrigo9-1_01661	130	Biotrigo9-1
Biotrigo9-1_01675	250	Biotrigo9-1
Biotrigo9-1_01678	53	Biotrigo9-1
Biotrigo9-1_01704	203	Biotrigo9-1
Biotrigo9-1_01750	171	Biotrigo9-1
Biotrigo9-1_01773	392	Biotrigo9-1
Biotrigo9-1_01777	106	Biotrigo9-1
Biotrigo9-1_01783	89	Biotrigo9-1
Biotrigo9-1_01859	174	Biotrigo9-1
Biotrigo9-1_01949	58	Biotrigo9-1
Biotrigo9-1_02082	315	Biotrigo9-1
Biotrigo9-1_02156	187	Biotrigo9-1
Biotrigo9-1_02180	114	Biotrigo9-1
Biotrigo9-1_02191	42	Biotrigo9-1
Biotrigo9-1_02207	107	Biotrigo9-1
Biotrigo9-1_02229	332	Biotrigo9-1
Biotrigo9-1_02289	236	Biotrigo9-1
Biotrigo9-1_02328	369	Biotrigo9-1
Biotrigo9-1_02341	245	Biotrigo9-1
Biotrigo9-1_02389	266	Biotrigo9-1
Biotrigo9-1_02403	357	Biotrigo9-1
Biotrigo9-1_02417	222	Biotrigo9-1
Biotrigo9-1_02540	95	Biotrigo9-1
Biotrigo9-1_02574	256	Biotrigo9-1
Biotrigo9-1_02626	98	Biotrigo9-1
Biotrigo9-1_02764	282	Biotrigo9-1
Biotrigo9-1_02802	203	Biotrigo9-1
Biotrigo9-1_02839	420	Biotrigo9-1
Biotrigo9-1_02890	273	Biotrigo9-1
Biotrigo9-1_02932	231	Biotrigo9-1
Biotrigo9-1_03028	207	Biotrigo9-1
Biotrigo9-1_03101	203	Biotrigo9-1
Biotrigo9-1_03109	227	Biotrigo9-1
Biotrigo9-1_03115	287	Biotrigo9-1
Biotrigo9-1_03134	417	Biotrigo9-1
Biotrigo9-1_03201	404	Biotrigo9-1
Biotrigo9-1_03218	263	Biotrigo9-1
Biotrigo9-1_03269	193	Biotrigo9-1
Biotrigo9-1_03281	458	Biotrigo9-1
Biotrigo9-1_03323	189	Biotrigo9-1
Biotrigo9-1_03357	68	Biotrigo9-1
Biotrigo9-1_03381	135	Biotrigo9-1
Biotrigo9-1_03386	99	Biotrigo9-1
Biotrigo9-1_03390	218	Biotrigo9-1
Biotrigo9-1_03397	242	Biotrigo9-1
Biotrigo9-1_03408	163	Biotrigo9-1
Biotrigo9-1_03446	399	Biotrigo9-1
Biotrigo9-1_03485	559	Biotrigo9-1
Biotrigo9-1_03502	245	Biotrigo9-1
Biotrigo9-1_03518	114	Biotrigo9-1
Biotrigo9-1_03805	278	Biotrigo9-1
Biotrigo9-1_03850	171	Biotrigo9-1
Biotrigo9-1_03892	241	Biotrigo9-1
Biotrigo9-1_03968	108	Biotrigo9-1
Biotrigo9-1_03989	174	Biotrigo9-1
Biotrigo9-1_04055	135	Biotrigo9-1
Biotrigo9-1_04075	191	Biotrigo9-1
Biotrigo9-1_04144	278	Biotrigo9-1
Biotrigo9-1_04193	206	Biotrigo9-1
Biotrigo9-1_04250	120	Biotrigo9-1
Biotrigo9-1_04303	453	Biotrigo9-1
Biotrigo9-1_04324	104	Biotrigo9-1
Biotrigo9-1_04325	86	Biotrigo9-1
Biotrigo9-1_04364	212	Biotrigo9-1
Biotrigo9-1_04428	162	Biotrigo9-1
Biotrigo9-1_04461	394	Biotrigo9-1
Biotrigo9-1_04504	322	Biotrigo9-1
Biotrigo9-1_04555	207	Biotrigo9-1
Biotrigo9-1_04635	153	Biotrigo9-1
Biotrigo9-1_04636	93	Biotrigo9-1
Biotrigo9-1_04644	166	Biotrigo9-1
Biotrigo9-1_04649	313	Biotrigo9-1
Biotrigo9-1_04672	138	Biotrigo9-1
Biotrigo9-1_04742	147	Biotrigo9-1
Biotrigo9-1_04749	248	Biotrigo9-1
Biotrigo9-1_04750	178	Biotrigo9-1
Biotrigo9-1_04835	129	Biotrigo9-1
Biotrigo9-1_04902	251	Biotrigo9-1
Biotrigo9-1_04913	221	Biotrigo9-1
Biotrigo9-1_04945	245	Biotrigo9-1
Biotrigo9-1_04948	187	Biotrigo9-1
Biotrigo9-1_04969	210	Biotrigo9-1
Biotrigo9-1_05009	448	Biotrigo9-1
Biotrigo9-1_05121	349	Biotrigo9-1
Biotrigo9-1_05182	234	Biotrigo9-1
Biotrigo9-1_05191	123	Biotrigo9-1
Biotrigo9-1_05245	433	Biotrigo9-1
Biotrigo9-1_05263	448	Biotrigo9-1
Biotrigo9-1_05268	344	Biotrigo9-1
Biotrigo9-1_05290	231	Biotrigo9-1
Biotrigo9-1_05327	179	Biotrigo9-1
Biotrigo9-1_05359	82	Biotrigo9-1
Biotrigo9-1_05360	70	Biotrigo9-1
Biotrigo9-1_05380	182	Biotrigo9-1
Biotrigo9-1_05428	382	Biotrigo9-1
Biotrigo9-1_05429	449	Biotrigo9-1
Biotrigo9-1_05460	255	Biotrigo9-1
Biotrigo9-1_05497	308	Biotrigo9-1
Biotrigo9-1_05554	133	Biotrigo9-1
Biotrigo9-1_05561	355	Biotrigo9-1
Biotrigo9-1_05588	187	Biotrigo9-1
Biotrigo9-1_05610	185	Biotrigo9-1
Biotrigo9-1_05626	62	Biotrigo9-1
Biotrigo9-1_05713	197	Biotrigo9-1
Biotrigo9-1_05716	606	Biotrigo9-1
Biotrigo9-1_05721	96	Biotrigo9-1
Biotrigo9-1_05793	209	Biotrigo9-1
Biotrigo9-1_05893	331	Biotrigo9-1
Biotrigo9-1_05961	135	Biotrigo9-1
Biotrigo9-1_05990	378	Biotrigo9-1
Biotrigo9-1_06014	134	Biotrigo9-1
Biotrigo9-1_06040	150	Biotrigo9-1
Biotrigo9-1_06105	141	Biotrigo9-1
Biotrigo9-1_06135	406	Biotrigo9-1
Biotrigo9-1_06207	95	Biotrigo9-1
Biotrigo9-1_06225	121	Biotrigo9-1
Biotrigo9-1_06235	231	Biotrigo9-1
Biotrigo9-1_06238	236	Biotrigo9-1
Biotrigo9-1_06271	136	Biotrigo9-1
Biotrigo9-1_06315	158	Biotrigo9-1
Biotrigo9-1_06329	438	Biotrigo9-1
Biotrigo9-1_06396	319	Biotrigo9-1
Biotrigo9-1_06487	225	Biotrigo9-1
Biotrigo9-1_06512	227	Biotrigo9-1
Biotrigo9-1_06520	205	Biotrigo9-1
Biotrigo9-1_06542	211	Biotrigo9-1
Biotrigo9-1_06595	190	Biotrigo9-1
Biotrigo9-1_06638	161	Biotrigo9-1
Biotrigo9-1_06643	157	Biotrigo9-1
Biotrigo9-1_06647	238	Biotrigo9-1
Biotrigo9-1_06742	124	Biotrigo9-1
Biotrigo9-1_06779	129	Biotrigo9-1
Biotrigo9-1_06787	89	Biotrigo9-1
Biotrigo9-1_06828	96	Biotrigo9-1
Biotrigo9-1_06882	90	Biotrigo9-1
Biotrigo9-1_06981	326	Biotrigo9-1
Biotrigo9-1_07000	179	Biotrigo9-1
Biotrigo9-1_07001	92	Biotrigo9-1
Biotrigo9-1_07042	104	Biotrigo9-1
Biotrigo9-1_07043	92	Biotrigo9-1
Biotrigo9-1_07044	92	Biotrigo9-1
Biotrigo9-1_07054	166	Biotrigo9-1
Biotrigo9-1_07063	215	Biotrigo9-1
Biotrigo9-1_07076	297	Biotrigo9-1
Biotrigo9-1_07112	66	Biotrigo9-1
Biotrigo9-1_07163	218	Biotrigo9-1
Biotrigo9-1_07204	175	Biotrigo9-1
Biotrigo9-1_07216	124	Biotrigo9-1
Biotrigo9-1_07294	248	Biotrigo9-1
Biotrigo9-1_07295	196	Biotrigo9-1
Biotrigo9-1_07314	136	Biotrigo9-1
Biotrigo9-1_07347	131	Biotrigo9-1
Biotrigo9-1_07376	258	Biotrigo9-1
Biotrigo9-1_07416	176	Biotrigo9-1
Biotrigo9-1_07442	305	Biotrigo9-1
Biotrigo9-1_07443	249	Biotrigo9-1
Biotrigo9-1_07473	277	Biotrigo9-1
Biotrigo9-1_07551	203	Biotrigo9-1
Biotrigo9-1_07610	104	Biotrigo9-1
Biotrigo9-1_07623	161	Biotrigo9-1
Biotrigo9-1_07664	278	Biotrigo9-1
Biotrigo9-1_07701	130	Biotrigo9-1
Biotrigo9-1_07709	248	Biotrigo9-1
Biotrigo9-1_07745	297	Biotrigo9-1
Biotrigo9-1_07760	292	Biotrigo9-1
Biotrigo9-1_07845	76	Biotrigo9-1
Biotrigo9-1_07881	344	Biotrigo9-1
Biotrigo9-1_07983	228	Biotrigo9-1
Biotrigo9-1_08017	270	Biotrigo9-1
Biotrigo9-1_08020	211	Biotrigo9-1
Biotrigo9-1_08036	241	Biotrigo9-1
Biotrigo9-1_08086	144	Biotrigo9-1
Biotrigo9-1_08163	252	Biotrigo9-1
Biotrigo9-1_08168	131	Biotrigo9-1
Biotrigo9-1_08194	192	Biotrigo9-1
Biotrigo9-1_08195	317	Biotrigo9-1
Biotrigo9-1_08263	118	Biotrigo9-1
Biotrigo9-1_08265	253	Biotrigo9-1
Biotrigo9-1_08312	295	Biotrigo9-1
Biotrigo9-1_08336	93	Biotrigo9-1
Biotrigo9-1_08359	169	Biotrigo9-1
Biotrigo9-1_08397	170	Biotrigo9-1
Biotrigo9-1_08464	98	Biotrigo9-1
Biotrigo9-1_08553	247	Biotrigo9-1
Biotrigo9-1_08555	188	Biotrigo9-1
Biotrigo9-1_08569	375	Biotrigo9-1
Biotrigo9-1_08580	144	Biotrigo9-1
Biotrigo9-1_08593	326	Biotrigo9-1
Biotrigo9-1_08627	85	Biotrigo9-1
Biotrigo9-1_08668	309	Biotrigo9-1
Biotrigo9-1_08717	378	Biotrigo9-1
Biotrigo9-1_08800	154	Biotrigo9-1
Biotrigo9-1_08839	219	Biotrigo9-1
Biotrigo9-1_08881	314	Biotrigo9-1
Biotrigo9-1_08963	445	Biotrigo9-1
Biotrigo9-1_08972	229	Biotrigo9-1
Biotrigo9-1_09032	97	Biotrigo9-1
Biotrigo9-1_09054	219	Biotrigo9-1
Biotrigo9-1_09089	195	Biotrigo9-1
Biotrigo9-1_09116	131	Biotrigo9-1
Biotrigo9-1_09165	226	Biotrigo9-1
Biotrigo9-1_09171	203	Biotrigo9-1
Biotrigo9-1_09238	413	Biotrigo9-1
Biotrigo9-1_09269	146	Biotrigo9-1
Biotrigo9-1_09319	106	Biotrigo9-1
Biotrigo9-1_09334	241	Biotrigo9-1
Biotrigo9-1_09381	99	Biotrigo9-1
Biotrigo9-1_09390	398	Biotrigo9-1
Biotrigo9-1_09423	88	Biotrigo9-1
Biotrigo9-1_09453	222	Biotrigo9-1
Biotrigo9-1_09455	393	Biotrigo9-1
Biotrigo9-1_09465	129	Biotrigo9-1
Biotrigo9-1_09474	208	Biotrigo9-1
Biotrigo9-1_09483	84	Biotrigo9-1
Biotrigo9-1_09490	89	Biotrigo9-1
Biotrigo9-1_09527	177	Biotrigo9-1
Biotrigo9-1_09536	72	Biotrigo9-1
Biotrigo9-1_09563	278	Biotrigo9-1
Biotrigo9-1_09617	135	Biotrigo9-1
Biotrigo9-1_09664	162	Biotrigo9-1
Biotrigo9-1_09665	631	Biotrigo9-1
Biotrigo9-1_09668	253	Biotrigo9-1
Biotrigo9-1_09687	227	Biotrigo9-1
Biotrigo9-1_09800	454	Biotrigo9-1
Biotrigo9-1_09837	90	Biotrigo9-1
Biotrigo9-1_09844	273	Biotrigo9-1
Biotrigo9-1_09862	126	Biotrigo9-1
Biotrigo9-1_09863	137	Biotrigo9-1
Biotrigo9-1_09884	199	Biotrigo9-1
Biotrigo9-1_09972	115	Biotrigo9-1
Biotrigo9-1_09996	270	Biotrigo9-1
Biotrigo9-1_10046	201	Biotrigo9-1
Biotrigo9-1_10049	356	Biotrigo9-1
Biotrigo9-1_10101	104	Biotrigo9-1
Biotrigo9-1_10102	92	Biotrigo9-1
Biotrigo9-1_10103	92	Biotrigo9-1
Biotrigo9-1_10131	60	Biotrigo9-1
Biotrigo9-1_10156	230	Biotrigo9-1
Biotrigo9-1_10176	157	Biotrigo9-1
Biotrigo9-1_10208	238	Biotrigo9-1
Biotrigo9-1_10224	107	Biotrigo9-1
Biotrigo9-1_10228	373	Biotrigo9-1
Biotrigo9-1_10351	227	Biotrigo9-1
Biotrigo9-1_10352	66	Biotrigo9-1
Biotrigo9-1_10357	274	Biotrigo9-1
Biotrigo9-1_10543	351	Biotrigo9-1
Biotrigo9-1_10589	340	Biotrigo9-1
Biotrigo9-1_10599	98	Biotrigo9-1
Biotrigo9-1_10607	121	Biotrigo9-1
Biotrigo9-1_10624	303	Biotrigo9-1
Biotrigo9-1_10670	43	Biotrigo9-1
Biotrigo9-1_10672	176	Biotrigo9-1
Biotrigo9-1_10685	131	Biotrigo9-1
Biotrigo9-1_10717	501	Biotrigo9-1
Biotrigo9-1_10736	245	Biotrigo9-1
Biotrigo9-1_10745	160	Biotrigo9-1
Biotrigo9-1_10748	138	Biotrigo9-1
Biotrigo9-1_10792	214	Biotrigo9-1
Biotrigo9-1_10799	232	Biotrigo9-1
Biotrigo9-1_10851	191	Biotrigo9-1
Biotrigo9-1_10910	256	Biotrigo9-1
Biotrigo9-1_10922	256	Biotrigo9-1
Biotrigo9-1_11002	156	Biotrigo9-1
Biotrigo9-1_11043	268	Biotrigo9-1
Biotrigo9-1_11187	145	Biotrigo9-1
Biotrigo9-1_11234	418	Biotrigo9-1
Biotrigo9-1_11302	310	Biotrigo9-1
Biotrigo9-1_11337	72	Biotrigo9-1
Biotrigo9-1_11358	510	Biotrigo9-1
Biotrigo9-1_11530	148	Biotrigo9-1
Biotrigo9-1_11574	408	Biotrigo9-1
Biotrigo9-1_11591	585	Biotrigo9-1
Biotrigo9-1_11602	81	Biotrigo9-1
Biotrigo9-1_11611	69	Biotrigo9-1
Biotrigo9-1_11780	235	Biotrigo9-1
