PF08118	OG0016111	MDM31_MDM32	"GO:mitochondrion inheritance"	GO:0000001
PF06333	OG0017828	Med13_C	"GO:transcription coregulator activity"	GO:0003712
PF07544	OG0015196	Med9	"GO:transcription coregulator activity"	GO:0003712
PF09637	OG0017408	Med18	"GO:transcription coregulator activity"	GO:0003712
PF06825	OG0014912	HSBP1	"GO:transcription corepressor activity"	GO:0003714
PF08618	OG0017996	Opi1	"GO:transcription corepressor activity"	GO:0003714
PF00013	OG0015211	KH_1	"GO:RNA binding"	GO:0003723
PF00013	OG0015213	KH_1	"GO:RNA binding"	GO:0003723
PF00076	OG0015081	RRM_1	"GO:RNA binding"	GO:0003723
PF00076	OG0015270	RRM_1	"GO:RNA binding"	GO:0003723
PF00076	OG0017735	RRM_1	"GO:RNA binding"	GO:0003723
PF00076	OG0018139	RRM_1	"GO:RNA binding"	GO:0003723
PF00910	OG0015182	RNA_helicase	"GO:RNA binding"	GO:0003723
PF00910	OG0015196	RNA_helicase	"GO:RNA binding"	GO:0003723
PF00910	OG0016849	RNA_helicase	"GO:RNA binding"	GO:0003723
PF01287	OG0015572	eIF-5a	"GO:RNA binding"	GO:0003723
PF03246	OG0016499	Pneumo_ncap	"GO:RNA binding"	GO:0003723
PF03246	OG0017849	Pneumo_ncap	"GO:RNA binding"	GO:0003723
PF03246	OG0018092	Pneumo_ncap	"GO:RNA binding"	GO:0003723
PF04146	OG0017350	YTH	"GO:RNA binding"	GO:0003723
PF07650	OG0015213	KH_2	"GO:RNA binding"	GO:0003723
PF08147	OG0015087	DBP10CT	"GO:RNA binding"	GO:0003723
PF08777	OG0018139	RRM_3	"GO:RNA binding"	GO:0003723
PF09142	OG0015196	TruB_C	"GO:RNA binding"	GO:0003723
PF09142	OG0016788	TruB_C	"GO:RNA binding"	GO:0003723
PF16367	OG0018139	RRM_7	"GO:RNA binding"	GO:0003723
PF16714	OG0017223	TyrRSs_C	"GO:RNA binding"	GO:0003723
PF00910	OG0015182	RNA_helicase	"GO:RNA helicase activity"	GO:0003724
PF00910	OG0015196	RNA_helicase	"GO:RNA helicase activity"	GO:0003724
PF00910	OG0016849	RNA_helicase	"GO:RNA helicase activity"	GO:0003724
PF08147	OG0015087	DBP10CT	"GO:RNA helicase activity"	GO:0003724
PF06658	OG0016048	DUF1168	"GO:double-stranded RNA binding"	GO:0003725
PF07927	OG0014917	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0014981	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0015412	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0016398	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0016757	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017736	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017790	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017837	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017845	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017851	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF07927	OG0017914	HicA_toxin	"GO:mRNA binding"	GO:0003729
PF00189	OG0015827	Ribosomal_S3_C	"GO:structural constituent of ribosome"	GO:0003735
PF00468	OG0015100	Ribosomal_L34	"GO:structural constituent of ribosome"	GO:0003735
PF00573	OG0017620	Ribosomal_L4	"GO:structural constituent of ribosome"	GO:0003735
PF01667	OG0016772	Ribosomal_S27e	"GO:structural constituent of ribosome"	GO:0003735
PF01783	OG0016297	Ribosomal_L32p	"GO:structural constituent of ribosome"	GO:0003735
PF01929	OG0016844	Ribosomal_L14e	"GO:structural constituent of ribosome"	GO:0003735
PF03719	OG0016841	Ribosomal_S5_C	"GO:structural constituent of ribosome"	GO:0003735
PF17144	OG0015524	Ribosomal_L5e	"GO:structural constituent of ribosome"	GO:0003735
PF17144	OG0016713	Ribosomal_L5e	"GO:structural constituent of ribosome"	GO:0003735
PF01873	OG0017578	eIF-5_eIF-2B	"GO:translation initiation factor activity"	GO:0003743
PF05091	OG0015089	eIF-3_zeta	"GO:translation initiation factor activity"	GO:0003743
PF05470	OG0016812	eIF-3c_N	"GO:translation initiation factor activity"	GO:0003743
PF05470	OG0017312	eIF-3c_N	"GO:translation initiation factor activity"	GO:0003743
PF01287	OG0015572	eIF-5a	"GO:translation elongation factor activity"	GO:0003746
PF00063	OG0016770	Myosin_head	"GO:cytoskeletal motor activity"	GO:0003774
PF02049	OG0015539	FliE	"GO:cytoskeletal motor activity"	GO:0003774
PF02049	OG0017982	FliE	"GO:cytoskeletal motor activity"	GO:0003774
PF01213	OG0014912	CAP_N	"GO:actin binding"	GO:0003779
PF01183	OG0016622	Glyco_hydro_25	"GO:lysozyme activity"	GO:0003796
PF00378	OG0017154	ECH_1	"GO:catalytic activity"	GO:0003824
PF00668	OG0015194	Condensation	"GO:catalytic activity"	GO:0003824
PF00668	OG0016379	Condensation	"GO:catalytic activity"	GO:0003824
PF00982	OG0017619	Glyco_transf_20	"GO:catalytic activity"	GO:0003824
PF02504	OG0016894	FA_synthesis	"GO:catalytic activity"	GO:0003824
PF02504	OG0016895	FA_synthesis	"GO:catalytic activity"	GO:0003824
PF03372	OG0015092	Exo_endo_phos	"GO:catalytic activity"	GO:0003824
PF14529	OG0014892	Exo_endo_phos_2	"GO:catalytic activity"	GO:0003824
PF14529	OG0015092	Exo_endo_phos_2	"GO:catalytic activity"	GO:0003824
PF01073	OG0015067	3Beta_HSD	"GO:3-beta-hydroxy-delta5-steroid dehydrogenase activity"	GO:0003854
PF01073	OG0015192	3Beta_HSD	"GO:3-beta-hydroxy-delta5-steroid dehydrogenase activity"	GO:0003854
PF01073	OG0015216	3Beta_HSD	"GO:3-beta-hydroxy-delta5-steroid dehydrogenase activity"	GO:0003854
PF02548	OG0017745	Pantoate_transf	"GO:3-methyl-2-oxobutanoate hydroxymethyltransferase activity"	GO:0003864
PF01051	OG0017194	Rep_3	"GO:DNA-directed DNA polymerase activity"	GO:0003887
PF03175	OG0015364	DNA_pol_B_2	"GO:DNA-directed DNA polymerase activity"	GO:0003887
PF01191	OG0016819	RNA_pol_Rpb5_C	"GO:DNA-directed 5'-3' RNA polymerase activity"	GO:0003899
PF04997	OG0015617	RNA_pol_Rpb1_1	"GO:DNA-directed 5'-3' RNA polymerase activity"	GO:0003899
PF04998	OG0017230	RNA_pol_Rpb1_5	"GO:DNA-directed 5'-3' RNA polymerase activity"	GO:0003899
PF04679	OG0017389	DNA_ligase_A_C	"GO:DNA ligase (ATP) activity"	GO:0003910
PF06574	OG0014975	FAD_syn	"GO:FMN adenylyltransferase activity"	GO:0003919
PF00503	OG0015182	G-alpha	"GO:GTPase activity"	GO:0003924
PF00503	OG0015210	G-alpha	"GO:GTPase activity"	GO:0003924
PF00503	OG0016692	G-alpha	"GO:GTPase activity"	GO:0003924
PF03193	OG0015182	RsgA_GTPase	"GO:GTPase activity"	GO:0003924
PF03193	OG0016849	RsgA_GTPase	"GO:GTPase activity"	GO:0003924
PF03193	OG0018055	RsgA_GTPase	"GO:GTPase activity"	GO:0003924
PF03431	OG0015599	RNA_replicase_B	"GO:RNA-directed 5'-3' RNA polymerase activity"	GO:0003968
PF02550	OG0015358	AcetylCoA_hydro	"GO:acetyl-CoA hydrolase activity"	GO:0003986
PF13822	OG0014883	ACC_epsilon	"GO:acetyl-CoA carboxylase activity"	GO:0003989
PF01756	OG0015529	ACOX	"GO:acyl-CoA oxidase activity"	GO:0003997
PF01756	OG0017963	ACOX	"GO:acyl-CoA oxidase activity"	GO:0003997
PF12142	OG0016668	PPO1_DWL	"GO:catechol oxidase activity"	GO:0004097
PF02224	OG0015182	Cytidylate_kin	"GO:cytidylate kinase activity"	GO:0004127
PF02224	OG0015209	Cytidylate_kin	"GO:cytidylate kinase activity"	GO:0004127
PF00115	OG0015346	COX1	"GO:cytochrome-c oxidase activity"	GO:0004129
PF02127	OG0017559	Peptidase_M18	"GO:aminopeptidase activity"	GO:0004177
PF00450	OG0016850	Peptidase_S10	"GO:serine-type carboxypeptidase activity"	GO:0004185
PF00450	OG0017665	Peptidase_S10	"GO:serine-type carboxypeptidase activity"	GO:0004185
PF01080	OG0015089	Presenilin	"GO:aspartic-type endopeptidase activity"	GO:0004190
PF01080	OG0015688	Presenilin	"GO:aspartic-type endopeptidase activity"	GO:0004190
PF04258	OG0015247	Peptidase_A22B	"GO:aspartic-type endopeptidase activity"	GO:0004190
PF00648	OG0016933	Peptidase_C2	"GO:calcium-dependent cysteine-type endopeptidase activity"	GO:0004198
PF00089	OG0015007	Trypsin	"GO:serine-type endopeptidase activity"	GO:0004252
PF00089	OG0015383	Trypsin	"GO:serine-type endopeptidase activity"	GO:0004252
PF00089	OG0018067	Trypsin	"GO:serine-type endopeptidase activity"	GO:0004252
PF01694	OG0017582	Rhomboid	"GO:serine-type endopeptidase activity"	GO:0004252
PF02122	OG0016064	Peptidase_S39	"GO:serine-type endopeptidase activity"	GO:0004252
PF10502	OG0016111	Peptidase_S26	"GO:serine-type endopeptidase activity"	GO:0004252
PF00342	OG0016236	PGI	"GO:glucose-6-phosphate isomerase activity"	GO:0004347
PF05088	OG0016882	Bac_GDH	"GO:glutamate dehydrogenase (NAD+) activity"	GO:0004352
PF13086	OG0016589	AAA_11	"GO:helicase activity"	GO:0004386
PF04209	OG0017801	HgmA	"GO:homogentisate 1,2-dioxygenase activity"	GO:0004411
PF00368	OG0015957	HMG-CoA_red	"GO:hydroxymethylglutaryl-CoA reductase (NADPH) activity"	GO:0004420
PF03030	OG0016887	H_PPase	"GO:inorganic diphosphatase activity"	GO:0004427
PF03030	OG0016888	H_PPase	"GO:inorganic diphosphatase activity"	GO:0004427
PF00390	OG0014933	malic	"GO:malate dehydrogenase (decarboxylating) (NAD+) activity"	GO:0004471
PF01274	OG0017323	Malate_synthase	"GO:malate synthase activity"	GO:0004474
PF00438	OG0016023	S-AdoMet_synt_N	"GO:methionine adenosyltransferase activity"	GO:0004478
PF00763	OG0016583	THF_DHG_CYH	"GO:methylenetetrahydrofolate dehydrogenase (NADP+) activity"	GO:0004488
PF00067	OG0015086	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0015217	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0016726	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0016835	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0016836	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0016948	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0016990	p450	"GO:monooxygenase activity"	GO:0004497
PF00067	OG0018069	p450	"GO:monooxygenase activity"	GO:0004497
PF04820	OG0015879	Trp_halogenase	"GO:monooxygenase activity"	GO:0004497
PF08491	OG0015205	SE	"GO:squalene monooxygenase activity"	GO:0004506
PF08133	OG0015980	Nuclease_act	"GO:nuclease activity"	GO:0004518
PF00961	OG0015325	LAGLIDADG_1	"GO:endonuclease activity"	GO:0004519
PF03852	OG0015775	Vsr	"GO:endonuclease activity"	GO:0004519
PF13456	OG0015584	RVT_3	"GO:RNA-DNA hybrid ribonuclease activity"	GO:0004523
PF00150	OG0017013	Cellulase	"GO:hydrolase activity, hydrolyzing O-glycosyl compounds"	GO:0004553
PF04616	OG0017774	Glyco_hydro_43	"GO:hydrolase activity, hydrolyzing O-glycosyl compounds"	GO:0004553
PF09154	OG0016422	DUF1939	"GO:hydrolase activity, hydrolyzing O-glycosyl compounds"	GO:0004553
PF09260	OG0017790	DUF1966	"GO:alpha-amylase activity"	GO:0004556
PF09260	OG0017845	DUF1966	"GO:alpha-amylase activity"	GO:0004556
PF01120	OG0016522	Alpha_L_fucos	"GO:alpha-L-fucosidase activity"	GO:0004560
PF00182	OG0015195	Glyco_hydro_19	"GO:chitinase activity"	GO:0004568
PF01532	OG0016484	Glyco_hydro_47	"GO:mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"	GO:0004571
PF03630	OG0017548	Fumble	"GO:pantothenate kinase activity"	GO:0004594
PF02666	OG0017966	PS_Dcarbxylase	"GO:phosphatidylserine decarboxylase activity"	GO:0004609
PF00393	OG0016055	6PGD	"GO:phosphogluconate dehydrogenase (decarboxylating) activity"	GO:0004616
PF02844	OG0015545	GARS_N	"GO:phosphoribosylamine-glycine ligase activity"	GO:0004637
PF13822	OG0014883	ACC_epsilon	"GO:propionyl-CoA carboxylase activity"	GO:0004658
PF00069	OG0015005	Pkinase	"GO:protein kinase activity"	GO:0004672
PF00069	OG0015340	Pkinase	"GO:protein kinase activity"	GO:0004672
PF00069	OG0016558	Pkinase	"GO:protein kinase activity"	GO:0004672
PF00069	OG0016842	Pkinase	"GO:protein kinase activity"	GO:0004672
PF00069	OG0017248	Pkinase	"GO:protein kinase activity"	GO:0004672
PF07714	OG0015005	PK_Tyr_Ser-Thr	"GO:protein kinase activity"	GO:0004672
PF07714	OG0016558	PK_Tyr_Ser-Thr	"GO:protein kinase activity"	GO:0004672
PF07714	OG0016842	PK_Tyr_Ser-Thr	"GO:protein kinase activity"	GO:0004672
PF07714	OG0017248	PK_Tyr_Ser-Thr	"GO:protein kinase activity"	GO:0004672
PF07714	OG0017882	PK_Tyr_Ser-Thr	"GO:protein kinase activity"	GO:0004672
PF08926	OG0016675	DUF1908	"GO:protein serine/threonine kinase activity"	GO:0004674
PF11640	OG0016981	TAN	"GO:protein serine/threonine kinase activity"	GO:0004674
PF11640	OG0017804	TAN	"GO:protein serine/threonine kinase activity"	GO:0004674
PF13350	OG0017646	Y_phosphatase3	"GO:phosphoprotein phosphatase activity"	GO:0004721
PF00102	OG0017646	Y_phosphatase	"GO:protein tyrosine phosphatase activity"	GO:0004725
PF04227	OG0017630	Indigoidine_A	"GO:pseudouridylate synthase activity"	GO:0004730
PF06026	OG0016611	Rib_5-P_isom_A	"GO:ribose-5-phosphate isomerase activity"	GO:0004751
PF04558	OG0014849	tRNA_synt_1c_R1	"GO:aminoacyl-tRNA ligase activity"	GO:0004812
PF01921	OG0016286	tRNA-synt_1f	"GO:lysine-tRNA ligase activity"	GO:0004824
PF09180	OG0015286	ProRS-C_1	"GO:proline-tRNA ligase activity"	GO:0004827
PF10458	OG0017417	Val_tRNA-synt_C	"GO:valine-tRNA ligase activity"	GO:0004832
PF04979	OG0016851	IPP-2	"GO:protein phosphatase inhibitor activity"	GO:0004864
PF00207	OG0016775	A2M	"GO:endopeptidase inhibitor activity"	GO:0004866
PF00207	OG0016785	A2M	"GO:endopeptidase inhibitor activity"	GO:0004866
